Timestamp,Last,Volume,Bid,Ask,Spread,BidPrice1,BidQty1,BidPrice2,BidQty2,BidPrice3,BidQty3,BidPrice4,BidQty4,BidPrice5,BidQty5,BidPrice6,BidQty6,BidPrice7,BidQty7,BidPrice8,BidQty8,BidPrice9,BidQty9,BidPrice10,BidQty10,AskPrice1,AskQty1,AskPrice2,AskQty2,AskPrice3,AskQty3,AskPrice4,AskQty4,AskPrice5,AskQty5,AskPrice6,AskQty6,AskPrice7,AskQty7,AskPrice8,AskQty8,AskPrice9,AskQty9,AskPrice10,AskQty10,Aggressor
20260610 124448 106,4182.00,1,4182.00,4182.30,0.30,4182.00,2,4181.90,1,4181.80,5,4181.70,5,4181.60,4,4181.50,3,4181.40,6,4181.30,4,4181.20,3,4181.10,11,4182.30,2,4182.40,3,4182.50,5,4182.60,6,4182.70,4,4182.80,3,4182.90,6,4183.00,5,4183.10,4,4183.20,10,Sell
20260610 124448 128,4182.20,1,4182.00,4182.30,0.30,4182.00,2,4181.90,1,4181.80,5,4181.70,5,4181.60,4,4181.50,3,4181.40,6,4181.30,4,4181.20,3,4181.10,11,4182.30,2,4182.40,3,4182.50,5,4182.60,6,4182.70,4,4182.80,3,4182.90,6,4183.00,5,4183.10,4,4183.20,10,Mid
20260610 124449 273,4182.30,1,4182.20,4182.60,0.40,4182.20,4,4182.10,5,4182.00,6,4181.90,2,4181.80,5,4181.70,5,4181.60,4,4181.50,3,4181.40,6,4181.30,10,4182.60,2,4182.70,3,4182.80,2,4182.90,4,4183.00,6,4183.10,5,4183.20,5,4183.30,7,4183.40,19,4183.50,11,Mid
20260610 124449 273,4182.30,1,4182.20,4182.60,0.40,4182.20,4,4182.10,5,4182.00,6,4181.90,2,4181.80,5,4181.70,5,4181.60,4,4181.50,3,4181.40,6,4181.30,10,4182.60,2,4182.70,3,4182.80,2,4182.90,4,4183.00,6,4183.10,5,4183.20,5,4183.30,7,4183.40,19,4183.50,11,Mid
20260610 124449 273,4182.30,1,4182.20,4182.60,0.40,4182.20,4,4182.10,5,4182.00,6,4181.90,2,4181.80,5,4181.70,5,4181.60,4,4181.50,3,4181.40,6,4181.30,10,4182.60,2,4182.70,3,4182.80,2,4182.90,4,4183.00,6,4183.10,5,4183.20,5,4183.30,7,4183.40,19,4183.50,11,Mid
20260610 124449 274,4182.40,1,4182.20,4182.60,0.40,4182.20,4,4182.10,5,4182.00,6,4181.90,2,4181.80,5,4181.70,5,4181.60,4,4181.50,3,4181.40,6,4181.30,10,4182.60,2,4182.70,3,4182.80,2,4182.90,4,4183.00,6,4183.10,5,4183.20,5,4183.30,7,4183.40,19,4183.50,11,Mid
20260610 124449 579,4183.00,1,4183.00,4183.20,0.20,4183.00,1,4182.90,3,4182.80,5,4182.70,2,4182.60,2,4182.50,2,4182.40,2,4182.30,2,4182.20,3,4182.10,4,4183.20,1,4183.30,3,4183.40,11,4183.50,6,4183.60,4,4183.70,2,4183.80,8,4183.90,9,4184.00,9,4184.10,11,Sell
20260610 124449 579,4183.10,1,4183.00,4183.20,0.20,4183.00,1,4182.90,3,4182.80,5,4182.70,2,4182.60,2,4182.50,2,4182.40,2,4182.30,2,4182.20,3,4182.10,4,4183.20,1,4183.30,3,4183.40,11,4183.50,6,4183.60,4,4183.70,2,4183.80,8,4183.90,9,4184.00,9,4184.10,11,Mid
20260610 124449 579,4183.20,1,4183.00,4183.20,0.20,4183.00,1,4182.90,3,4182.80,5,4182.70,2,4182.60,2,4182.50,2,4182.40,2,4182.30,2,4182.20,3,4182.10,4,4183.20,1,4183.30,3,4183.40,11,4183.50,6,4183.60,4,4183.70,2,4183.80,8,4183.90,9,4184.00,9,4184.10,11,Buy
20260610 124450 444,4183.10,1,4182.90,4183.20,0.30,4182.90,2,4182.80,3,4182.70,2,4182.60,2,4182.50,4,4182.40,2,4182.30,3,4182.20,3,4182.10,4,4182.00,5,4183.20,1,4183.30,3,4183.40,11,4183.50,5,4183.60,3,4183.70,3,4183.80,8,4183.90,9,4184.00,9,4184.10,11,Mid
20260610 124450 569,4183.30,1,4183.20,4183.40,0.20,4183.20,1,4183.10,3,4183.00,4,4182.90,3,4182.80,4,4182.70,3,4182.60,4,4182.50,5,4182.40,2,4182.30,2,4183.40,8,4183.50,2,4183.60,1,4183.70,2,4183.80,7,4183.90,4,4184.00,4,4184.10,6,4184.20,9,4184.30,10,Mid
20260610 124450 570,4183.30,1,4183.20,4183.40,0.20,4183.20,1,4183.10,3,4183.00,4,4182.90,3,4182.80,4,4182.70,3,4182.60,4,4182.50,5,4182.40,2,4182.30,2,4183.40,8,4183.50,2,4183.60,1,4183.70,2,4183.80,7,4183.90,4,4184.00,4,4184.10,6,4184.20,9,4184.30,10,Mid
20260610 124450 754,4183.40,1,4183.20,4183.40,0.20,4183.20,2,4183.10,1,4183.00,4,4182.90,3,4182.80,4,4182.70,3,4182.60,4,4182.50,5,4182.40,3,4182.30,2,4183.50,2,4183.60,1,4183.70,2,4183.80,7,4183.90,4,4184.00,4,4184.10,6,4184.20,9,4184.30,11,4184.40,10,Buy
20260610 124450 755,4183.40,7,4183.20,4183.40,0.20,4183.20,2,4183.10,1,4183.00,4,4182.90,3,4182.80,4,4182.70,3,4182.60,4,4182.50,5,4182.40,3,4182.30,2,4183.50,2,4183.60,1,4183.70,2,4183.80,7,4183.90,4,4184.00,4,4184.10,6,4184.20,9,4184.30,11,4184.40,10,Buy
20260610 124450 942,4183.50,1,4183.20,4183.50,0.30,4183.20,3,4183.10,1,4183.00,4,4182.90,3,4182.80,4,4182.70,3,4182.60,4,4182.50,5,4182.40,3,4182.30,2,4183.50,1,4183.60,1,4183.70,2,4183.80,7,4183.90,4,4184.00,4,4184.10,6,4184.20,10,4184.30,10,4184.40,10,Buy
20260610 124451 575,4183.20,1,4183.00,4183.30,0.30,4183.00,3,4182.90,3,4182.80,4,4182.70,3,4182.60,4,4182.50,5,4182.40,3,4182.30,2,4182.20,8,4182.10,9,4183.30,1,4183.40,3,4183.50,4,4183.60,1,4183.70,3,4183.80,7,4183.90,4,4184.00,4,4184.10,7,4184.20,9,Mid
20260610 124451 904,4183.50,1,4183.20,4183.50,0.30,4183.20,2,4183.10,1,4183.00,3,4182.90,3,4182.80,4,4182.70,3,4182.60,5,4182.50,5,4182.40,3,4182.30,2,4183.50,2,4183.60,1,4183.70,2,4183.80,7,4183.90,4,4184.00,4,4184.10,8,4184.20,9,4184.30,10,4184.40,10,Buy
20260610 124452 840,4183.30,1,4183.40,4183.70,0.30,4183.40,1,4183.30,3,4183.20,1,4183.10,4,4183.00,4,4182.90,4,4182.80,4,4182.70,3,4182.60,5,4182.50,4,4183.70,1,4183.80,6,4183.90,4,4184.00,4,4184.10,7,4184.20,4,4184.30,5,4184.40,11,4184.50,10,4184.60,9,Sell
20260610 124452 840,4183.40,1,4183.40,4183.70,0.30,4183.40,1,4183.30,3,4183.20,1,4183.10,4,4183.00,4,4182.90,4,4182.80,4,4182.70,3,4182.60,5,4182.50,4,4183.70,1,4183.80,6,4183.90,4,4184.00,4,4184.10,7,4184.20,4,4184.30,5,4184.40,11,4184.50,10,4184.60,9,Sell
20260610 124452 840,4183.40,1,4183.40,4183.70,0.30,4183.40,1,4183.30,3,4183.20,1,4183.10,4,4183.00,4,4182.90,4,4182.80,4,4182.70,3,4182.60,5,4182.50,4,4183.70,1,4183.80,6,4183.90,4,4184.00,4,4184.10,7,4184.20,4,4184.30,5,4184.40,11,4184.50,10,4184.60,9,Sell
20260610 124452 840,4183.40,1,4183.40,4183.70,0.30,4183.40,1,4183.30,3,4183.20,1,4183.10,4,4183.00,4,4182.90,4,4182.80,4,4182.70,3,4182.60,5,4182.50,4,4183.70,1,4183.80,6,4183.90,4,4184.00,4,4184.10,7,4184.20,4,4184.30,5,4184.40,11,4184.50,10,4184.60,9,Sell
20260610 124453 914,4183.50,1,4183.20,4183.50,0.30,4183.20,1,4183.10,3,4183.00,3,4182.90,4,4182.80,4,4182.70,3,4182.60,5,4182.50,4,4182.40,8,4182.30,8,4183.50,1,4183.60,2,4183.70,5,4183.80,8,4183.90,4,4184.00,3,4184.10,6,4184.20,12,4184.30,13,4184.40,11,Buy
